start,code,year,flfp,time,timec
36.6,LBY,2023,36.1,381.052730293442,389.052730293442
36.6,LBY,2020,33.4,381.052730293442,386.052730293442
36.6,LBY,2022,36.2,381.052730293442,388.052730293442
36.6,LBY,2021,33.8,381.052730293442,387.052730293442
36.6,LBY,2015,36.6,381.052730293442,381.052730293442
36.6,LBY,2025,35.7,381.052730293442,391.052730293442
36.6,LBY,2019,36.6,381.052730293442,385.052730293442
36.6,LBY,2024,36,381.052730293442,390.052730293442
36.6,LBY,2017,36.6,381.052730293442,383.052730293442
36.6,LBY,2016,36.6,381.052730293442,382.052730293442
36.6,LBY,2018,36.6,381.052730293442,384.052730293442
39.1,LKA,2023,33.6,392.741041981754,400.741041981754
39.1,LKA,2015,39.1,392.741041981754,392.741041981754
39.1,LKA,2022,35.7,392.741041981754,399.741041981754
39.1,LKA,2018,36.9,392.741041981754,395.741041981754
39.1,LKA,2017,40,392.741041981754,394.741041981754
39.1,LKA,2020,35.5,392.741041981754,397.741041981754
39.1,LKA,2024,35.3,392.741041981754,401.741041981754
39.1,LKA,2016,39,392.741041981754,393.741041981754
39.1,LKA,2019,38,392.741041981754,396.741041981754
39.1,LKA,2025,35.4,392.741041981754,402.741041981754
39.1,LKA,2021,35.5,392.741041981754,398.741041981754
40,GTM,2023,40,396.831951072663,404.831951072663
40,GTM,2020,40.1,396.831951072663,401.831951072663
40,GTM,2019,38.8,396.831951072663,400.831951072663
40,GTM,2025,40.3,396.831951072663,406.831951072663
40,GTM,2022,42.1,396.831951072663,403.831951072663
40,GTM,2021,44.6,396.831951072663,402.831951072663
40,GTM,2018,40,396.831951072663,399.831951072663
40,GTM,2015,40,396.831951072663,396.831951072663
40,GTM,2024,40.4,396.831951072663,405.831951072663
40,GTM,2017,40.2,396.831951072663,398.831951072663
40,GTM,2016,41.1,396.831951072663,397.831951072663
40.1,MDV,2022,42.1,397.286496527208,404.286496527208
40.1,MDV,2024,42.7,397.286496527208,406.286496527208
40.1,MDV,2017,41.4,397.286496527208,399.286496527208
40.1,MDV,2023,42.4,397.286496527208,405.286496527208
